tweet_id,favorites,retweets,user_followers,user_favourites,date_time
678800283649069056,2626,924,,,2015-12-21 04:52:53+00:00
678798276842360832,3513,1194,,,2015-12-21 04:44:55+00:00
678774928607469569,2855,930,,,2015-12-21 03:12:08+00:00
678767140346941444,3603,1388,,,2015-12-21 02:41:11+00:00
678764513869611008,1666,486,,,2015-12-21 02:30:45+00:00
678755239630127104,7257,3354,,,2015-12-21 01:53:54+00:00
678740035362037760,3820,1714,,,2015-12-21 00:53:29+00:00
678675843183484930,2914,1503,,,2015-12-20 20:38:24+00:00
678643457146150913,2083,425,,,2015-12-20 18:29:43+00:00
678446151570427904,4076,1588,,,2015-12-20 05:25:42+00:00
678424312106393600,5509,2593,,,2015-12-20 03:58:55+00:00
678410210315247616,4307,1855,,,2015-12-20 03:02:53+00:00
678399652199309312,80515,32402,,,2015-12-20 02:20:55+00:00
678396796259975168,1621,422,,,2015-12-20 02:09:34+00:00
678389028614488064,1900,433,,,2015-12-20 01:38:42+00:00
678380236862578688,2482,928,,,2015-12-20 01:03:46+00:00
678341075375947776,1753,545,,,2015-12-19 22:28:09+00:00
678334497360859136,1321,259,,,2015-12-19 22:02:01+00:00
678278586130948096,11612,6185,,,2015-12-19 18:19:51+00:00
678255464182861824,1614,372,,,2015-12-19 16:47:58+00:00
678021115718029313,13944,6442,,,2015-12-19 01:16:45+00:00
677918531514703872,1374,421,,,2015-12-18 18:29:07+00:00
677895101218201600,4913,2130,,,2015-12-18 16:56:01+00:00
677700003327029250,3438,1469,,,2015-12-18 04:00:46+00:00
677698403548192770,1248,325,,,2015-12-18 03:54:25+00:00
677687604918272002,2518,857,,,2015-12-18 03:11:30+00:00
677673981332312066,3376,1524,,,2015-12-18 02:17:22+00:00
677662372920729601,1967,974,,,2015-12-18 01:31:14+00:00
677644091929329666,1882,810,,,2015-12-18 00:18:36+00:00
677573743309385728,2160,727,,,2015-12-17 19:39:03+00:00
677565715327688705,1314,470,,,2015-12-17 19:07:09+00:00
677557565589463040,2469,1173,,,2015-12-17 18:34:46+00:00
677547928504967168,7026,3723,,,2015-12-17 17:56:29+00:00
677530072887205888,1085,233,,,2015-12-17 16:45:31+00:00
677334615166730240,1367,290,,,2015-12-17 03:48:51+00:00
677331501395156992,1105,237,,,2015-12-17 03:36:28+00:00
677328882937298944,3684,1526,,,2015-12-17 03:26:04+00:00
677314812125323265,1662,534,,,2015-12-17 02:30:09+00:00
677301033169788928,1249,408,,,2015-12-17 01:35:24+00:00
677269281705472000,2018,715,,,2015-12-16 23:29:14+00:00
677228873407442944,3589,1664,,,2015-12-16 20:48:40+00:00
677187300187611136,2778,937,,,2015-12-16 18:03:28+00:00
676975532580409345,2812,1090,,,2015-12-16 04:01:59+00:00
676957860086095872,2253,818,,,2015-12-16 02:51:45+00:00
676949632774234114,1324,398,,,2015-12-16 02:19:04+00:00
676948236477857792,2200,871,,,2015-12-16 02:13:31+00:00
676946864479084545,1743,376,,,2015-12-16 02:08:04+00:00
676942428000112642,2099,763,,,2015-12-16 01:50:26+00:00
676936541936185344,12857,4978,,,2015-12-16 01:27:03+00:00
676897532954456065,2276,726,,,2015-12-15 22:52:02+00:00
676864501615042560,2125,718,,,2015-12-15 20:40:47+00:00
676821958043033607,23277,15810,,,2015-12-15 17:51:44+00:00
676819651066732545,1827,678,,,2015-12-15 17:42:34+00:00
676811746707918848,1433,430,,,2015-12-15 17:11:09+00:00
676776431406465024,5058,2046,,,2015-12-15 14:50:49+00:00
676617503762681856,2928,985,,,2015-12-15 04:19:18+00:00
676613908052996102,1093,201,,,2015-12-15 04:05:01+00:00
676606785097199616,1898,442,,,2015-12-15 03:36:42+00:00
676603393314578432,1169,385,,,2015-12-15 03:23:14+00:00
676588346097852417,2336,796,,,2015-12-15 02:23:26+00:00
676582956622721024,1211,281,,,2015-12-15 02:02:01+00:00
676575501977128964,2610,1127,,,2015-12-15 01:32:24+00:00
676533798876651520,1889,562,,,2015-12-14 22:46:41+00:00
676496375194980353,1533,535,,,2015-12-14 20:17:59+00:00
676470639084101634,11712,4719,,,2015-12-14 18:35:43+00:00
676440007570247681,1736,675,,,2015-12-14 16:34:00+00:00
676430933382295552,1410,347,,,2015-12-14 15:57:56+00:00
676263575653122048,2092,555,,,2015-12-14 04:52:55+00:00
676237365392908289,1231,290,,,2015-12-14 03:08:46+00:00
676219687039057920,76407,31331,,,2015-12-14 01:58:31+00:00
676215927814406144,1759,587,,,2015-12-14 01:43:35+00:00
676191832485810177,2300,1043,,,2015-12-14 00:07:50+00:00
676146341966438401,1931,664,,,2015-12-13 21:07:04+00:00
676101918813499392,2837,1174,,,2015-12-13 18:10:33+00:00
676098748976615425,3036,1441,,,2015-12-13 17:57:57+00:00
676089483918516224,1323,438,,,2015-12-13 17:21:08+00:00
675898130735476737,1633,572,,,2015-12-13 04:40:46+00:00
675891555769696257,2145,867,,,2015-12-13 04:14:39+00:00
675888385639251968,2397,966,,,2015-12-13 04:02:03+00:00
675878199931371520,4203,1406,,,2015-12-13 03:21:34+00:00
675870721063669760,1647,572,,,2015-12-13 02:51:51+00:00
675853064436391936,2705,1307,,,2015-12-13 01:41:41+00:00
675845657354215424,2289,888,,,2015-12-13 01:12:15+00:00
675822767435051008,1528,537,,,2015-12-12 23:41:18+00:00
675820929667219457,1053,234,,,2015-12-12 23:34:00+00:00
675798442703122432,10319,3422,,,2015-12-12 22:04:39+00:00
675781562965868544,1639,473,,,2015-12-12 20:57:34+00:00
